member_id,ticker,exchange,person_name,name_normalized,role,board_type,age,year_of_birth,education,shares,tenure_since,data_sources,confidence_score,is_current,scraped_at
7d7b3f52,HPG,HOSE,Phạm Thị Kim Oanh,pham thi kim oanh,Giám đốc Tài chính,Ban GĐ,44.0,1982,ThS Kinh tế,,2008,"cafef,vietstock",1.0,True,2026-03-05T00:43:25.669496
a9c57806,HPG,HOSE,Bùi Thị Hải Vân,bui thi hai van,Trưởng BKS,BKS,47.0,1979,CN TCKT,,2008,"cafef,vietstock",1.0,True,2026-03-05T00:43:25.669496
4bca6c46,HPG,HOSE,Ngô Lan Anh,ngo lan anh,Thành viên BKS,BKS,36.0,1990,CN Luật,"2,191",2015,"cafef,vietstock",1.0,True,2026-03-05T00:43:25.669496
3f15f9a0,HPG,HOSE,Thái Thị Lộc,thai thi loc,Thành viên BKS,BKS,,,CN Luật,"2,160",2015,"cafef,vietstock",1.0,True,2026-03-05T00:43:25.669496
4cb2f514,VNM,HOSE,Nguyễn Hạnh Phúc,nguyen hanh phuc,Chủ tịch HĐQT,HĐQT,67.0,1959,KS Xây dựng,,Độc lập,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
df853ff7,VNM,HOSE,Vũ Trí Thức,vu tri thuc,Thành Viên HĐQT,HĐQT,50.0,1976,ThS QTKD,"752,476,602",2025,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
3233c0cc,VNM,HOSE,Tongjai ThanaCHanan,tongjai thanachanan,Thành Viên HĐQT,HĐQT,58.0,1968,CN Kinh tế/MBA,,2025,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
1e269e1c,VNM,HOSE,Mai Kiều Liên,mai kieu lien,Thành viên HĐQT,HĐQT,73.0,1953,KS Công nghệ,"6,400,444",1976,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
aed8d997,VNM,HOSE,Michael Chye Hin Fah,michael chye hin fah,Thành viên HĐQT,HĐQT,67.0,1959,ThS QTKD,"426,185,235",2017,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
aadd98c7,VNM,HOSE,Đặng Thị Thu Hà,dang thi thu ha,Thành viên HĐQT,HĐQT,53.0,1973,ThS QTKD,"752,476,602",2017,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
1bdcb57a,VNM,HOSE,Đỗ Lê Hùng,do le hung,Thành viên HĐQT,HĐQT,57.0,1969,CN TCKT/ThS Quản lý K.Tế,,Độc lập,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
0b29334c,VNM,HOSE,Lê Thành Liêm,le thanh liem,Thành viên HĐQT,HĐQT,53.0,1973,CN KTTC/ThS Thương mại Quốc tế,"752,969,983",1994,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
4355487c,VNM,HOSE,Alain Xavier Cany,alain xavier cany,Thành viên HĐQT,HĐQT,77.0,1949,Cử nhân,"221,856,553",2018,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
e3991a02,VNM,HOSE,Tiêu Yến Trinh,tieu yen trinh,Thành viên HĐQT độc lập,HĐQT,52.0,1974,Cử nhân,,Độc lập,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
04a0cef0,VNM,HOSE,Bùi Thị Hương,bui thi huong,Giám đốc Điều hành Nhân sự Hành chính & Đối ngoại,Ban GĐ,64.0,1962,CN Ngoại ngữ/CN Kinh tế,"134,176",2005,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
1a5bc68c,VNM,HOSE,Đoàn Quốc Khánh,doan quoc khanh,Giám đốc Điều hành Phát triển vùng nguyên liệu,Ban GĐ,52.0,1974,KS Tự động hóa,6,1999,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
4c5f0718,VNM,HOSE,Nguyễn Quốc Khánh,nguyen quoc khanh,GĐ ĐH Nghiên cứu và Phát triển,Ban GĐ,62.0,1964,CN QTKD/Kỹ sư,,2009,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
d28b7d90,VNM,HOSE,Lê Hoàng Minh,le hoang minh,GĐ ĐH Sản xuất,Ban GĐ,62.0,1964,KS Điện,8,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
1366a7cb,VNM,HOSE,Nguyễn Quang Trí,nguyen quang tri,Giám đốc điều hành Marketing,Ban GĐ,55.0,1971,T.S QTKD,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
4b8c4622,VNM,HOSE,Huỳnh Thị Phương Lan,huynh thi phuong lan,Kế toán trưởng,Ban GĐ,42.0,1984,ThS Kinh tế,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:27.589263
17fc01d7,VIC,HOSE,Phạm Nhật Vượng,pham nhat vuong,Chủ tịch HĐQT,HĐQT,58.0,1968,Cử nhân,"1,963,981,439",2001,"cafef,vietstock",1.0,True,2026-03-05T00:43:30.389423
33b72ed6,VIC,HOSE,Nguyễn Việt Quang,nguyen viet quang,Phó Chủ tịch HĐQT,HĐQT,58.0,1968,CN QTKD/ThS Luật,"1,344,392",2017,"cafef,vietstock",1.0,True,2026-03-05T00:43:30.389423
fc0b2d55,VIC,HOSE,Phạm Thúy Hằng,pham thuy hang,Phó Chủ tịch HĐQT,HĐQT,52.0,1974,CN Ngoại ngữ,"228,326,892",2001,"cafef,vietstock",1.0,True,2026-03-05T00:43:30.389423
4ef27ec2,VIC,HOSE,Phạm Thu Hương,pham thu huong,Phó Chủ tịch HĐQT,HĐQT,57.0,1969,CN Luật,"341,221,050",2001,"cafef,vietstock",1.0,True,2026-03-05T00:43:30.389423
ae667c14,VIC,HOSE,Nguyễn Diệu Linh,nguyen dieu linh,Phó Chủ tịch HĐQT,HĐQT,52.0,1974,CN Ngoại ngữ/CN Luật,"1,865,418",2008,"cafef,vietstock",1.0,True,2026-03-05T00:43:30.389423
459733d1,VIC,HOSE,Adil Ahmad,adil ahmad,Thành viên HĐQT,HĐQT,69.0,1957,ThS QTKD/CN Kinh tế,,Độc lập,"cafef,vietstock",1.0,True,2026-03-05T00:43:30.389423
e89a424e,VIC,HOSE,Chin Michael Jaewuk,chin michael jaewuk,Thành viên HĐQT,HĐQT,59.0,1967,Cử nhân,,Độc lập,"cafef,vietstock",1.0,True,2026-03-05T00:43:30.389423
6650e69a,VIC,HOSE,Ronaldo Dy-Liacco Ibasco,ronaldo dy-liacco ibasco,Thành viên HĐQT,HĐQT,65.0,1961,CN QTKD/ThS QTKD,,Độc lập,"cafef,vietstock",1.0,True,2026-03-05T00:43:30.389423
be57b5ca,VIC,HOSE,Mai Hương Nội,mai huong noi,Phó Tổng GĐ,Ban GĐ,57.0,1969,CN Ngân Hàng,"16,462,447",2006,"cafef,vietstock",1.0,True,2026-03-05T00:43:30.389423
28a48eb2,VIC,HOSE,Dương Thị Hoàn,duong thi hoan,Phó Tổng GĐ,Ban GĐ,48.0,1978,ThS QTKD,"1,344,644",N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:30.389423
614f0d55,VIC,HOSE,Nguyễn Thị Thu Hiền,nguyen thi thu hien,Kế toán trưởng,Ban GĐ,53.0,1973,CN Kinh tế,"300,392",2008,"cafef,vietstock",1.0,True,2026-03-05T00:43:30.389423
b5eea7a7,VIC,HOSE,Nguyễn Thế Anh,nguyen the anh,Trưởng BKS,BKS,51.0,1975,ThS Kinh tế,"87,810,743",2011,"cafef,vietstock",1.0,True,2026-03-05T00:43:30.389423
76cf98f3,VIC,HOSE,Đỗ Thị Hồng Vân,do thi hong van,Thành viên BKS,BKS,53.0,1972,CN Kinh tế,,Độc lập,"cafef,vietstock",1.0,True,2026-03-05T00:43:30.389423
f1c1246c,VIC,HOSE,Nguyễn Hồng Mai,nguyen hong mai,Thành viên BKS,BKS,41.0,1985,CN TCKT/ThS Tài chính,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:30.389423
ffe09f6a,VHM,HOSE,Phạm Thiếu Hoa,pham thieu hoa,Chủ tịch HĐQT,HĐQT,63.0,1963,ThS QTKD,,2011,"cafef,vietstock",1.0,True,2026-03-05T00:43:33.051549
7a1febc2,VHM,HOSE,Phạm Nhật Vượng,pham nhat vuong,Thành Viên HĐQT,HĐQT,58.0,1968,KS Kinh tế Địa chất,"3,019,227,680",2018,"cafef,vietstock",1.0,True,2026-03-05T00:43:33.051549
25dd27fe,VHM,HOSE,Cao Thị Hà An,cao thi ha an,Thành viên HĐQT,HĐQT,58.0,1968,ThS Tài chính,,2018,"cafef,vietstock",1.0,True,2026-03-05T00:43:33.051549
063d101a,VHM,HOSE,Nguyễn Diệu Linh,nguyen dieu linh,Thành viên HĐQT,HĐQT,52.0,1974,CN Ngoại ngữ/CN Luật,"3,019,227,680",2018,"cafef,vietstock",1.0,True,2026-03-05T00:43:33.051549
1302ba82,VHM,HOSE,Nguyễn Thu Hằng,nguyen thu hang,Thành viên HĐQT,HĐQT,42.0,1984,Cử nhân,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:33.051549
c2f814af,VHM,HOSE,Varun Kapur,varun kapur,Thành viên HĐQT độc lập,HĐQT,57.0,1969,ThS QTKD,,Độc lập,"cafef,vietstock",1.0,True,2026-03-05T00:43:33.051549
ccc97798,VHM,HOSE,Hoang D. Quan,hoang d. quan,Thành viên HĐQT độc lập,HĐQT,57.0,1969,,,Độc lập,"cafef,vietstock",1.0,True,2026-03-05T00:43:33.051549
bfb8bafb,VHM,HOSE,Đặng Minh Hải,dang minh hai,Phó Tổng GĐ,Ban GĐ,59.0,1967,Sỹ quan Công an,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:33.051549
95884dab,VHM,HOSE,Mai Thu Thủy,mai thu thuy,Phó Tổng GĐ,Ban GĐ,51.0,1975,CN Tài chính - Ngân hàng,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:33.051549
9cc5768e,VHM,HOSE,Lê Tiến Công,le tien cong,Giám đốc Tài chính,Ban GĐ,39.0,1987,CN TCKT,97,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:33.051549
70a9003a,VHM,HOSE,Đỗ Đức Hiếu,do duc hieu,Kế toán trưởng,Ban GĐ,35.0,1991,CN Kế toán,,2025,"cafef,vietstock",1.0,True,2026-03-05T00:43:33.051549
a2234971,VHM,HOSE,Phạm Ngọc Lan,pham ngoc lan,Thành viên BKS,BKS,37.0,1989,CN Kế toán,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:33.051549
b59155bc,VHM,HOSE,Trần Minh Anh,tran minh anh,Thành viên BKS,BKS,,,ThS QTKD,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:33.051549
c483e6bc,VHM,HOSE,Hoàng Thị Phượng,hoang thi phuong,Thành viên BKS,BKS,,,CN Kinh tế đối ngoại,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:33.051549
7ab28b83,VCB,HOSE,Nguyễn Thanh Tùng,nguyen thanh tung,Chủ tịch HĐQT,HĐQT,52.0,1974,CN Kinh tế/Thạc sỹ Kinh tế,"1,562,606,968",2021,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
af07b835,VCB,HOSE,Nguyễn Tuấn Anh,nguyen tuan anh,Thành Viên HĐQT,HĐQT,,,CN TC Tín dụng/ThS Luật,"625,033,858",2024,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
c77fed33,VCB,HOSE,Lê Quang Vinh,le quang vinh,Thành Viên HĐQT,HĐQT,50.0,1976,ThS Tài chính,"937,550,787",2017,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
9669a2ad,VCB,HOSE,Nguyễn Thị Kim Oanh,nguyen thi kim oanh,Thành Viên HĐQT,HĐQT,51.0,1975,ThS Tài chính Ngân hàng,"625,041,333",2013,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
7278cbe0,VCB,HOSE,Kohei Matsuoka,kohei matsuoka,Thành Viên HĐQT,HĐQT,57.0,1969,CN Luật/Thạc sỹ,,2025,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
572ee96a,VCB,HOSE,Hoàng Thanh Nhàn,hoang thanh nhan,Thành Viên HĐQT,HĐQT,54.0,1972,Cao cấp C.trị/ThS Tài chính Ngân hàng,"625,033,858",2025,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
6975cfbc,VCB,HOSE,Đỗ Việt Hùng,do viet hung,Thành viên HĐQT,HĐQT,56.0,1970,ThS QTKD/CN Kinh tế,"625,033,858",N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
5331fb66,VCB,HOSE,Nguyễn Mạnh Hùng,nguyen manh hung,Thành viên HĐQT,HĐQT,52.0,1974,ThS Kinh tế/CN Kinh tế,"625,038,970",2014,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
c101c844,VCB,HOSE,Hồng Quang,hong quang,Thành viên HĐQT,HĐQT,50.0,1976,CN Luật/ThS QTKD/CN Tài chính - Ngân hàng,"625,033,860",N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
dd6c181f,VCB,HOSE,Vũ Viết Ngoạn,vu viet ngoan,Thành viên HĐQT độc lập,HĐQT,68.0,1958,CN Ngoại thương/ThS Tài chính Ngân hàng/T.S Tài chính,,Độc lập,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
2879f878,VCB,HOSE,Lê Hoàng Tùng,le hoang tung,Phó Tổng Giám đốc,Ban GĐ,50.0,1976,ThS Kinh tế,"11,263",2017,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
058b6960,VCB,HOSE,Hồ Văn Tuấn,ho van tuan,Phó Tổng Giám đốc,Ban GĐ,48.0,1978,T.S Kinh tế,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
15d1d1d9,VCB,HOSE,Nguyễn Việt Cường,nguyen viet cuong,Phó Tổng Giám đốc,Ban GĐ,50.0,1976,ThS Kinh tế,,2022,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
feab6571,VCB,HOSE,Đặng Hoài Đức,dang hoai duc,Phó Tổng GĐ,Ban GĐ,53.0,1973,CN Kinh tế,16,2019,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
acca050d,VCB,HOSE,Phùng Nguyễn Hải Yến,phung nguyen hai yen,Phó Tổng GĐ,Ban GĐ,53.0,1973,ThS Kinh tế/CPA,"42,339",2011,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
78265fcc,VCB,HOSE,Nguyễn Văn Tuân,nguyen van tuan,Phó Tổng GĐ,Ban GĐ,57.0,1969,ThS QTKD,"7,708",2025,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
93fe3cb3,VCB,HOSE,Đinh Thị Thái,dinh thi thai,Trưởng BKS,BKS,50.0,1976,ThS Kinh tế/CN Kinh tế,219,2015,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
f701815f,VCB,HOSE,Trần Mỹ Hạnh,tran my hanh,Thành viên BKS,BKS,52.0,1974,CN Kinh tế,,2022,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
9b706327,VCB,HOSE,Đỗ Thị Mai Hương,do thi mai huong,Thành viên BKS,BKS,52.0,1974,ThS Kinh tế,"11,946",2008,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
1c31d775,VCB,HOSE,Trương Thị Diệu Quế,truong thi dieu que,Thành viên BKS,BKS,,,ThS Kinh tế/CN Kinh tế đối ngoại,10,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
d20a51cb,VCB,HOSE,Trần Sỹ Mạnh,tran sy manh,Thành viên BKS,BKS,53.0,1973,Thạc sỹ Kinh tế,,1999,"cafef,vietstock",1.0,True,2026-03-05T00:43:35.766606
e97059cc,BID,HOSE,Phan Đức Tú,phan duc tu,Chủ tịch HĐQT,HĐQT,62.0,1964,CN Kinh tế,"74,620",1998,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
aced590c,BID,HOSE,Quách Hùng Hiệp,quach hung hiep,Thành Viên HĐQT,HĐQT,57.0,1969,T.S Kinh tế,128,1999,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
cfae5dc1,BID,HOSE,Lê Quốc Nghị,le quoc nghi,Thành Viên HĐQT,HĐQT,61.0,1965,CN TC Tín dụng/Th.S Chính trị,,2025,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
817fc88e,BID,HOSE,Đặng Văn Tuyên,dang van tuyen,Thành viên HĐQT,HĐQT,,,,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
b1ddd4d2,BID,HOSE,Trần Xuân Hoàng,tran xuan hoang,Thành viên HĐQT,HĐQT,61.0,1965,CN Kinh tế,136,1996,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
26b632ae,BID,HOSE,Ngô Văn Dũng,ngo van dung,Thành viên HĐQT,HĐQT,58.0,1968,ThS Tài chính Ngân hàng,"1,337",1998,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
5daac63d,BID,HOSE,Phạm Quang Tùng,pham quang tung,Thành viên HĐQT,HĐQT,55.0,1971,CN Luật/KS Kinh tế,1,2018,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
2685d97e,BID,HOSE,Yoo Je Bong,yoo je bong,Thành viên HĐQT,HĐQT,64.0,1962,CN Kinh tế,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
f87f58b2,BID,HOSE,Lê Kim Hòa,le kim hoa,Thành viên HĐQT,HĐQT,61.0,1965,ThS QTKD,"73,713",1997,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
9375acfc,BID,HOSE,Lê Ngọc Lâm,le ngoc lam,Thành viên HĐQT,HĐQT,51.0,1975,ThS Kinh tế,"1,239",1997,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
fa8edc68,BID,HOSE,Nguyễn Văn Thạnh,nguyen van thanh,Thành viên HĐQT độc lập,HĐQT,66.0,1960,T.S Kinh tế,,Độc lập,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
791fc2cf,BID,HOSE,Trần Phương,tran phuong,Phó Tổng GĐ,Ban GĐ,53.0,1973,ThS Tài chính Ngân hàng,"36,264",2012,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
eaecabe3,BID,HOSE,Nguyễn Thiên Hoàng,nguyen thien hoang,Phó Tổng GĐ,Ban GĐ,53.0,1973,ThS Kinh tế,3,1994,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
35bbc4a1,BID,HOSE,Trần Long,tran long,Phó Tổng GĐ,Ban GĐ,50.0,1976,T.S K.Tế,,2020,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
94a99861,BID,HOSE,Nguyễn Thị Quỳnh Giao,nguyen thi quynh giao,Phó Tổng GĐ,Ban GĐ,48.0,1978,ThS Tài chính Ngân hàng,3,2000,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
55ed61cf,BID,HOSE,Phan Thanh Hải,phan thanh hai,Phó Tổng GĐ,Ban GĐ,49.0,1977,ThS Tài chính Ngân hàng,7,2020,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
c5960942,BID,HOSE,Hoàng Việt Hùng,hoang viet hung,Phó Tổng GĐ,Ban GĐ,54.0,1972,ThS QTKD,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
f241e993,BID,HOSE,Lại Tiến Quân,lai tien quan,Phó Tổng GĐ,Ban GĐ,52.0,1974,ThS QTKD,"13,705",N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
ec6d96c1,BID,HOSE,Ham Jin Sik,ham jin sik,Thành viên Ban Điều Hành,Khác,57.0,1969,ThS QTKD,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
e55b02df,BID,HOSE,Tạ Thị Hạnh,ta thi hanh,Kế toán trưởng,BKS,54.0,1972,Thạc sỹ Kinh tế,"3,862",2002,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
6a3072cf,BID,HOSE,Cao Cự Trí,cao cu tri,Thành viên BKS,BKS,60.0,1966,ThS Kinh tế,"6,139",2002,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
57dc1c4f,BID,HOSE,Nguyễn Thị Thu Hà,nguyen thi thu ha,Thành viên BKS,BKS,46.0,1980,ThS Tài chính Ngân hàng,,2021,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
7dcdb05e,BID,HOSE,Nguyễn Trung Kiên,nguyen trung kien,Thành viên BKS,BKS,53.0,1973,ThS QTKD,84,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
4fb53278,BID,HOSE,Huỳnh Phương,huynh phuong,Thành viên BKS,BKS,58.0,1968,ThS QTKD/CN Tài chính - Ngân hàng,,2025,"cafef,vietstock",1.0,True,2026-03-05T00:43:38.755898
1c4ae1f6,CTG,HOSE,Trần Minh Bình,tran minh binh,Chủ tịch HĐQT,HĐQT,52.0,1974,ThS QTKD,"865,424,087",1999,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
94b4fc0d,CTG,HOSE,Lê Thanh Tùng,le thanh tung,Thành Viên HĐQT,HĐQT,48.0,1978,T.S Kinh tế,"346,167,628",N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
2e924ed1,CTG,HOSE,Takeo Shimotsu,takeo shimotsu,Thành Viên HĐQT,HĐQT,47.0,1979,ThS QTKD,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
58a9b1d9,CTG,HOSE,Nguyễn Trần Mạnh Trung,nguyen tran manh trung,Thành Viên HĐQT,HĐQT,43.0,1983,ThS Tài chính Ngân hàng,"519,251,447",N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
1164bda8,CTG,HOSE,Nguyễn Việt Dũng,nguyen viet dung,Thành Viên HĐQT,HĐQT,40.0,1986,Thạc sỹ Kinh tế,"346,167,628",N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
a04b3fe1,CTG,HOSE,Nguyễn Vân Anh,nguyen van anh,Thành Viên HĐQT,HĐQT,56.0,1970,Cao cấp C.trị/Thạc sỹ Kinh tế,"346,167,628",2025,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
e6004caf,CTG,HOSE,Koji Iriguchi,koji iriguchi,Thành viên HĐQT,HĐQT,52.0,1974,CN Luật,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
5aba0a32,CTG,HOSE,Trần Văn Tần,tran van tan,Thành viên HĐQT,HĐQT,58.0,1968,Thạc sỹ Kinh tế,"346,167,628",N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
69207a8f,CTG,HOSE,Nguyễn Thế Huân,nguyen the huan,Thành viên HĐQT,HĐQT,52.0,1974,CN Ngoại ngữ/CN Luật/CN Kinh tế,"346,167,628",1995,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
4002d9e1,CTG,HOSE,Phạm Thị Thanh Hoài,pham thi thanh hoai,Thành viên HĐQT,HĐQT,48.0,1978,ThS Tài chính,"346,167,817",2003,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
07efd3a5,CTG,HOSE,Cát Quang Dương,cat quang duong,Thành viên HĐQT độc lập,HĐQT,67.0,1959,ThS Tài chính Ngân hàng,,Độc lập,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
83c7742f,CTG,HOSE,Đỗ Thanh Sơn,do thanh son,Phó Tổng GĐ,Ban GĐ,50.0,1976,T.S Tài chính - Ngân hàng,180,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
92397a72,CTG,HOSE,Nguyễn Đức Thành,nguyen duc thanh,Phó Tổng GĐ,Ban GĐ,56.0,1970,ThS Kinh tế,,2010,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
01ca6c39,CTG,HOSE,Dương Văn Quân,duong van quan,Phó Tổng GĐ,Ban GĐ,38.0,1988,CN Kế toán-Kiểm toán,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
34ebb209,CTG,HOSE,Nguyễn Bảo Thanh Vân,nguyen bao thanh van,Phó Tổng GĐ,Ban GĐ,46.0,1980,ThS Kinh tế,"26,589",N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
badcd21d,CTG,HOSE,Đặng Thị Việt Hà,dang thi viet ha,Phó Tổng GĐ,Ban GĐ,49.0,1977,ThS QTKD,,N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
b9c90b48,CTG,HOSE,Lê Duy Hải,le duy hai,Phó Tổng GĐ,Ban GĐ,49.0,1977,ThS QTKD,"32,323",N/A,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
00c10bd3,CTG,HOSE,Trần Công Quỳnh Lân,tran cong quynh lan,Phó Tổng GĐ,Ban GĐ,47.0,1979,ThS CNTT,,2012,"cafef,vietstock",1.0,True,2026-03-05T00:43:42.022844
